NRO,EMPRESA,TIPO_DOCUMENTO_TITULAR,NRO_DOCUMENTO_TITULAR,FECHA_NACIMIENTO_TITULAR,NOMBRE_TITULAR,PATERNO_TITULAR,MATERNO_TITULAR,NACIONALIDAD_TITULAR,SEXO_TITULAR,NRO_SEGURO_TITULAR,NRO_CELULAR_TITULAR,TITULAR_ES_BENEFICIARIA,TIPO_DOCUMENTO_BENEFICIARIA,NRO_DOCUMENTO_BENEFICIARIA,FECHA_NACIMIENTO_BENEFICIARIA,NOMBRE_BENEFICIARIA,PATERNO_BENEFICIARIA,MATERNO_BENEFICIARIA,NACIONALIDAD_BENEFICIARIA,SEXO_BENEFICIARIA,NRO_SEGURO_BENEFICIARIA,NRO_CELULAR_BENEFICIARIA,TIPO_SUBSIDIO,MONTO,CANTIDAD,TOTAL,NRO_ASIGNACION,DISTRITO,FECHA_INICIO,FECHA_FIN
95,MAGISTERIO,CI,6760337,06/06/1999,DEVI,ECUEVARI,ECUEVARI,BOLIVIA,F,354876,71539793,NO,CI,7887604,05/01/1977,MAGALI,SILES,HINOJOSA,BOLIVIA ,F,35354,78666759,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
96,MAGISTERIO,CI,10839882,23/11/2002,JESUS,ESPEJO,AGUILERA,BOLIVIA,F,354877,71539794,NO,CI,5150026,25/11/1994,LILIAN,SILES,PAREDES,BOLIVIA ,F,35354,78666760,1,2000,475,2000,1,BENI ,05/01/2018,12/01/2018
97,MAGISTERIO,CI,8327117,19/12/1957,KIMBERLY,ESPINOZA,GUTIERREZ,BOLIVIA,F,354878,71539795,NO,CI,7981601,20/10/1964,ANGEL,SILES,TICONA,BOLIVIA ,F,35354,78666761,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
98,MAGISTERIO,CI,5372932,16/07/2009,GIOVANNA PAOLA,ESTEVES,,BOLIVIA,F,354879,71539796,NO,CI,5282997,08/10/1997,PEDRO,SILES,TORRICO,BOLIVIA ,F,35354,78666762,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
99,MAGISTERIO,CI,5337456,17/07/1955,LORENA,FRIAS,COCA,BOLIVIA,M,354880,71539797,NO,CI,3390385,20/01/1979,ALBERTO,SILVESTRE,AGUILAR,BOLIVIA ,F,35354,78666763,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
100,MAGISTERIO,CI,4507660,05/07/1992,CLAUDIA,FUENTES,DEHEZA,BOLIVIA,M,354881,71539798,NO,CI,3764194,01/05/1988,PATRICIA,SOLIZ,GARCIA,BOLIVIA ,F,35354,78666764,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
101,MAGISTERIO,CI,4507660,20/05/1999,MARCO,ESPINOZA,RODRIGUEZ,BOLIVIA,F,354882,71539799,NO,CI,5306261,25/05/1987,JAVIER,SOLIZ,GONZALES,BOLIVIA ,F,35354,78666765,3,2000,480,6000,1,CBBA,05/01/2018,12/01/2018
102,MAGISTERIO,CI,4095255,20/08/1953,MARIA LEONOR,GARCIA,,BOLIVIA,F,354883,71539800,NO,CI,6412119,02/05/2001,LINA,SOLIZ,LUJAN,BOLIVIA ,F,35354,78666766,1,2000,481,2000,1,SANTA CRUZ,05/01/2018,12/01/2018
103,MAGISTERIO,CI,2399925,13/12/1960,FREDDY,GONZALES,OPORTO,BOLIVIA,F,354884,71539801,NO,CI,5209188,08/03/2000,EDITH,SOLIZ,PANOZO,BOLIVIA ,F,35354,78666767,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
104,MAGISTERIO,CI,9260742,21/06/1997,ERIKA,GUARDIA,NEGRETE,BOLIVIA,M,354885,71539802,NO,CI,5244735,01/04/1963,ALEX,SORIA,RODRIGUEZ,BOLIVIA ,F,35354,78666768,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
105,MAGISTERIO,CI,4196986,07/08/1969,RAUL,GUARIBANA,TORREZ,BOLIVIA,M,354886,71539803,NO,CI,5300987,26/11/1990,JERUSSA,SORIA,ZURITA,BOLIVIA ,F,35354,78666769,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
106,MAGISTERIO,CI,3364702,03/03/1983,CARLOS,GUTIERREZ,,BOLIVIA,M,354887,71539804,NO,CI,6406477,22/02/2002,MARIELA,SOTO,GUTIERREZ,BOLIVIA ,F,35354,78666770,1,2000,485,2000,1,LA PAZ,05/01/2018,12/01/2018
107,MAGISTERIO,CI,4189623,10/04/1993,MARIA,GUTIERREZ,SOLETO,BOLIVIA,F,354888,71539805,NO,CI,6406782,11/07/1999,ADETT,SUAREZ,LEDEZMA,BOLIVIA ,F,35354,78666771,3,2000,486,6000,1,LA PAZ,05/01/2018,12/01/2018
108,MAGISTERIO,CI,7637167,30/10/1971,LIZETH,GUZMAN,,BOLIVIA,M,354889,71539806,NO,CI,6205510,07/08/1972,JACKELINE,SUAREZ,,BOLIVIA ,F,35354,78666772,1,2000,487,2000,1,CBBA,05/01/2018,12/01/2018
109,MAGISTERIO,CI,4910302,20/05/1968,HERLAND,HERNANDEZ,ZAMBRANA,BOLIVIA,M,354890,71539807,NO,CI,5282504,01/08/1980,WILDE,TABOADA,RIVAS,BOLIVIA ,F,35354,78666773,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
110,MAGISTERIO,CI,4950542,05/07/2007,JAVIER,HERRERA,SUAREZ,BOLIVIA,F,354891,71539808,NO,CI,2901289,04/07/1999,SANDRA,TALOS,TOMSICH,BOLIVIA ,F,35354,78666774,1,2000,489,2000,1,BENI ,05/01/2018,12/01/2018
111,MAGISTERIO,CI,5241031,05/07/2000,RICARDO,HERRERA,VILLAFANI,BOLIVIA,F,354892,71539809,NO,CI,7983242,22/06/2006,MARIBEL,TAMAYO,JALDIN DE VELA,BOLIVIA ,F,35354,78666775,3,2000,490,6000,1,PANDO ,05/01/2018,12/01/2018
112,MAGISTERIO,CI,5601603,02/03/1986,SAYIRA,HUARY,VARGAS,BOLIVIA,M,354893,71539810,NO,CI,9412829,03/01/1989,JANALITH,TAPIA,ALMANZA,BOLIVIA ,F,35354,78666776,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
113,MAGISTERIO,CI,5583051,12/04/1974,LOURDES,HURTADO,TERAN,BOLIVIA,M,354894,71539811,NO,CI,998374,17/08/1990,DAVID,TAPIA,SALVATIERRA,BOLIVIA ,F,35354,78666777,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
114,MAGISTERIO,CI,5607318,14/04/2009,HUMBERTO,ILCHA,GALVEZ,BOLIVIA,M,354895,71539812,NO,CI,6461387,10/05/1966,YURY,TAPIA,ZAVALA,BOLIVIA ,F,35354,78666778,1,2000,493,2000,1,LA PAZ,05/01/2018,12/01/2018
115,MAGISTERIO,CI,5615151,04/12/2004,KETTY,IRIARTE,SALVATIERRA,BOLIVIA,F,354896,71539813,NO,CI,3731269,15/07/1974,DANIEL,TEJADA,DE LAFUENTE,BOLIVIA ,F,35354,78666779,3,2000,494,6000,1,CBBA,05/01/2018,12/01/2018
116,MAGISTERIO,CI,5615552,30/06/1973,MARIA,JAIME,VACA,BOLIVIA,F,354897,71539814,NO,CI,6413512,22/06/1954,EBER,TELLEZ,,BOLIVIA ,F,35354,78666780,1,2000,495,2000,1,SANTA CRUZ,05/01/2018,12/01/2018
117,MAGISTERIO,CI,9272285,14/10/1981,VANESSA,JIMENEZ,FUROY,BOLIVIA,M,354898,71539815,NO,CI,4412659,27/10/1986,JUAN,TERAN,BENAVIDES,BOLIVIA ,F,35354,78666781,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
118,MAGISTERIO,CI,10842286,16/06/1983,LIZDENKA,JOSEFF,CHIPUNAVI,BOLIVIA,M,354899,71539816,NO,CI,7484535,05/10/1971,NICOLD,TERAN,MORALES,BOLIVIA ,F,35354,78666782,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
119,MAGISTERIO,CI,5629687,14/05/2010,JUAN,JUSTINIANO,APONTE,BOLIVIA,F,354900,71539817,NO,CI,6480368,25/12/1998,JOSE,TERCEROS,MERCADO,BOLIVIA ,F,35354,78666783,3,2000,498,6000,1,SUCRE,05/01/2018,12/01/2018
120,MAGISTERIO,CI,7583958,29/11/1974,JEAN,JUSTINIANO,BERTHON,BOLIVIA,F,354901,71539818,NO,CI,5250869,05/09/2006,WILIAN,TERCEROS,TORRICO,BOLIVIA ,F,35354,78666784,1,2000,499,2000,1,LA PAZ,05/01/2018,12/01/2018
121,MAGISTERIO,CI,2468564,22/08/1979,NEYDE,KAEGUI,HERRERA,BOLIVIA,M,354902,71539819,NO,CI,6520553,16/06/2009,ANDREA,TERRAZAS,ESTRADA,BOLIVIA ,F,35354,78666785,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
122,MAGISTERIO,CI,7643087,24/12/1958,CAROL,KASPARETT,CORRALES,BOLIVIA,F,354903,71539820,NO,CI,6491228,28/01/1992,JHANETH,TERRAZAS,ROJAS,BOLIVIA ,F,35354,78666786,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
123,MAGISTERIO,CI,1911689,13/10/2002,MARCO,LACOA,ARTEAGA,BOLIVIA,F,354904,71539821,NO,CI,5168456,20/11/1989,LUCERO,TERRAZAS,VERA,BOLIVIA ,F,35354,78666787,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
124,MAGISTERIO,CI,6791600,05/02/1962,ERICKA,LANGUIDEY,RUIZ,BOLIVIA,M,354905,71539822,NO,CI,8792594,27/04/1990,SABINA,TICONA,SAAVEDRA,BOLIVIA ,F,35354,78666788,1,2000,1,2000,1,CBBA,05/01/2018,12/01/2018
125,MAGISTERIO,CI,7630840,06/09/1987,STEFANY,LEITE,PAZ,BOLIVIA,M,354906,71539823,NO,CI,6464597,06/11/1960,MILTON,TINTA,MARCANI,BOLIVIA ,F,35354,78666789,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
126,MAGISTERIO,CI,4191751,24/10/2007,MOISES,LEON,AIMA,BOLIVIA,F,354907,71539824,NO,CI,7896390,03/09/1954,EDDY,TITO,MAMANI,BOLIVIA ,F,35354,78666790,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
127,MAGISTERIO,CI,5582041,27/09/1956,OSCAR,LOLA,SAAVEDRA,BOLIVIA,M,354908,71539825,NO,CI,8854976,19/08/1961,VIRGINIA,TOLA,VALERO,BOLIVIA ,F,35354,78666791,3,2000,464,6000,1,LA PAZ,05/01/2018,12/01/2018
128,MAGISTERIO,CI,4196177,06/10/1953,JUAN,LOPEZ,GUITERAS,BOLIVIA,F,354909,71539826,NO,CI,4319489,05/11/1954,RICARDO,TOLEDO,SEGALES,BOLIVIA ,F,35354,78666792,1,2000,465,2000,1,LA PAZ,05/01/2018,12/01/2018
129,MAGISTERIO,CI,7595583,25/01/1979,RAFAEL,LOPEZ,VELEZ,BOLIVIA,F,354910,71539827,NO,CI,8003609,02/12/1957,ISAURA,TORO,MERIDA,BOLIVIA ,F,35354,78666793,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
130,MAGISTERIO,CI,4950948,27/12/1992,SANDRA,LOZA,SASTE,BOLIVIA,M,354911,71539828,NO,CI,5285662,10/10/1991,DANIELA,TORREJON,SORIA GALVARRO,BOLIVIA ,F,35354,78666794,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
131,MAGISTERIO,CI,7620628,08/04/1984,ERLAND,LURICI,,BOLIVIA,F,354912,71539829,NO,CI,3779639,18/12/1998,GABRIELA,TORRES,MENDOZA,BOLIVIA ,F,35354,78666795,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
132,MAGISTERIO,CI,7605159,22/07/1987,GABRIEL,MALALA,CAMAMA,BOLIVIA,M,354913,71539830,NO,CI,5153217,15/01/1954,NORAH AMALIA,TORRES,ORTIZ FLORES,BOLIVIA ,F,35354,78666796,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
133,MAGISTERIO,CI,5008071,06/10/1989,MARIA,MALDONADO,PLAZA,BOLIVIA,F,354914,71539831,NO,CI,4380395,14/11/2006,JOSE GILDO,TORRES,,BOLIVIA ,F,35354,78666797,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
134,MAGISTERIO,CI,10815017,13/06/1987,GLORIA,MALE,SOSA,BOLIVIA,F,354915,71539832,NO,CI,3144759,05/08/1989,ISAAC,TORREZ,VASQUEZ,BOLIVIA ,F,35354,78666798,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
135,MAGISTERIO,CI,10818055,26/07/2007,VANESSA,MAMANI,DORADO,BOLIVIA,M,354916,71539833,NO,CI,7893212,11/01/1990,JIMENA,TORRICO,,BOLIVIA ,F,35354,78666799,3,2000,472,6000,1,LA PAZ,05/01/2018,12/01/2018
136,MAGISTERIO,CI,7614294,15/04/2002,KARLA,MAROVO,PARUMA,BOLIVIA,F,354917,71539834,NO,CI,6452913,03/11/1998,WILMER,TORRICO,ANDRADE,BOLIVIA ,F,35354,78666800,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
137,MAGISTERIO,CI,1702230,25/08/1992,LILIA,MARTINEZ,MUÑOZ,BOLIVIA,F,354918,71539835,NO,CI,4413849,09/03/1996,DANIELA,TORRICO,CAMACHO,BOLIVIA ,F,35354,78666801,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
138,MAGISTERIO,CI,4709245,25/09/2009,ROGER,MARTINEZ,PAZ,BOLIVIA,F,354919,71539836,NO,CI,5222108,09/12/1972,ALVARO,TORRICO,CESPEDES,BOLIVIA ,F,35354,78666802,1,2000,475,2000,1,BENI ,05/01/2018,12/01/2018
139,MAGISTERIO,CI,4190542,01/04/2006,ALEJANDRO,MASAPAIJA,,BOLIVIA,F,354920,71539837,NO,CI,6549066,25/08/1954,LESLIE,TORRICO,GOMEZ,BOLIVIA ,F,35354,78666803,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
140,MAGISTERIO,CI,10789846,04/08/1992,MARY,MATORRA,APONTE,BOLIVIA,M,354921,71539838,NO,CI,7893540,08/04/1954,VANIA,TORRICO,GONZALES,BOLIVIA ,F,35354,78666804,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
141,MAGISTERIO,CI,7602611,26/06/1977,MARY,MEJIA,MOOR,BOLIVIA,M,354922,71539839,NO,CI,5188378,26/10/1992,VERONICA,TORRICO,LA TAPIA,BOLIVIA ,F,35354,78666805,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
142,MAGISTERIO,CI,7635911,27/09/1991,JOSE,MELGAR,DURAN,BOLIVIA,F,354923,71539840,NO,CI,3818635,28/07/1999,JUDITH,TORRICO,LINARES,BOLIVIA ,F,35354,78666806,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
143,MAGISTERIO,CI,5600711,23/05/1973,BENJAMIN,MELGAR,PIÑA,BOLIVIA,F,354924,71539841,NO,CI,3124715,15/06/1972,CECILIA,TORRICO,MACEREZ,BOLIVIA ,F,35354,78666807,3,2000,480,6000,1,CBBA,05/01/2018,12/01/2018
144,MAGISTERIO,CI,1734890,29/10/1957,GERMAN,MENDEZ,GUASICO,BOLIVIA,F,354925,71539842,NO,CI,3007484,07/12/1993,RUFO,TORRICO,MORATO,BOLIVIA ,F,35354,78666808,1,2000,481,2000,1,SANTA CRUZ,05/01/2018,12/01/2018
145,MAGISTERIO,CI,4197796,06/12/2005,PAULA CAROLINA,MENDIZABAL,,BOLIVIA,M,354926,71539843,NO,CI,8001335,27/10/1991,VIRGINIA,TORRICO,NOGALES,BOLIVIA ,F,35354,78666809,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
146,MAGISTERIO,CI,5621630,12/04/1983,HARRY,MENDOZA,PEREZ,BOLIVIA,M,354927,71539844,NO,CI,5294457,08/07/1993,SILVERIO,TORRICO,RODRIGUEZ,BOLIVIA ,F,35354,78666810,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
147,MAGISTERIO,CI,7597174,05/05/1998,SIRIA,MERCADO,QUETEGUARI,BOLIVIA,M,354928,71539845,NO,CI,8033617,19/03/1955,DANIELA,TORRICO,VILLAFUERTE,BOLIVIA ,F,35354,78666811,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
148,MAGISTERIO,CI,9278282,25/06/1990,GREGORIA,MERCADO,URQUIZA,BOLIVIA,F,354929,71539846,NO,CI,7962718,06/01/2008,DANNY,TORRICO,VILLARROEL,BOLIVIA ,F,35354,78666812,1,2000,485,2000,1,LA PAZ,05/01/2018,12/01/2018
149,MAGISTERIO,CI,6760351,25/06/1967,MIGUEL,MILLAN,GONZALES,BOLIVIA,M,354930,71539847,NO,CI,5303440,08/05/1996,ALEJANDRA,TRIGO,MONTAÑO,BOLIVIA ,F,35354,78666813,3,2000,486,6000,1,LA PAZ,05/01/2018,12/01/2018
150,MAGISTERIO,CI,1932361,25/12/1978,LUIS,MOJICA,CUELLAR,BOLIVIA,M,354931,71539848,NO,CI,3760783,29/04/1955,HECTOR,TRIGO,VARGAS,BOLIVIA ,F,35354,78666814,1,2000,487,2000,1,CBBA,05/01/2018,12/01/2018
151,MAGISTERIO,CI,7617307,08/11/1995,DANIEL,MONJE,CHUQUI,BOLIVIA,F,354932,71539849,NO,CI,6439675,24/09/1971,MARIA MICAELA,TRIVEÑO,,BOLIVIA ,F,35354,78666815,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
152,MAGISTERIO,CI,1939073,17/04/1966,ORIEL FRANZ,MONJE,,BOLIVIA,F,354933,71539850,NO,CI,5150973,28/08/1977,RENE,TRUJILLO,CASTELLON,BOLIVIA ,F,35354,78666816,1,2000,489,2000,1,BENI ,05/01/2018,12/01/2018
153,MAGISTERIO,CI,10787123,28/02/1953,ANA,MONTERO,GUAREVA,BOLIVIA,M,354934,71539851,NO,CI,5812030,21/03/2001,ROSA,TRUJILLO,NAVARRO,BOLIVIA ,F,35354,78666817,3,2000,490,6000,1,PANDO ,05/01/2018,12/01/2018
154,MAGISTERIO,CI,5585535,31/01/1974,PABLO,MONTOYA,VEGA,BOLIVIA,M,354935,71539852,NO,CI,4915254,06/02/1976,CLAUDIA,TRUJILLO,ROCA,BOLIVIA ,F,35354,78666818,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
155,MAGISTERIO,CI,3467543,10/04/1995,JIMMY,MORALES,TROCHE,BOLIVIA,M,354936,71539853,NO,CI,6476308,04/05/1972,RIMER,TRUJILLO,ROCHA,BOLIVIA ,F,35354,78666819,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
156,MAGISTERIO,CI,4191089,12/09/1986,AMANDA,MORENO,ARANCIBIA,BOLIVIA,F,354937,71539854,NO,CI,4417319,03/07/1971,SERGIO ORLANDO,UNZUETA,,BOLIVIA ,F,35354,78666820,1,2000,493,2000,1,LA PAZ,05/01/2018,12/01/2018
157,MAGISTERIO,CI,5597837,26/05/1956,ARNALDO,MOYE,ORGANIVIA,BOLIVIA,F,354938,71539855,NO,CI,6547343,29/11/1966,LIZTH,UREÑA,MELGAREJO,BOLIVIA ,F,35354,78666821,3,2000,494,6000,1,CBBA,05/01/2018,12/01/2018
158,MAGISTERIO,CI,7593652,16/06/1976,DELCY,MUKAY,RODRIGUEZ,BOLIVIA,M,354939,71539856,NO,CI,8009794,06/06/1990,YURIKO,UREÑA,PINTO,BOLIVIA ,F,35354,78666822,1,2000,495,2000,1,SANTA CRUZ,05/01/2018,12/01/2018
159,MAGISTERIO,CI,5596492,31/01/1986,RUBEN,MUÑOZ,GUAJARE,BOLIVIA,M,354940,71539857,NO,CI,5279602,31/10/1956,FERNANDO,URIONA,ROJAS,BOLIVIA ,F,35354,78666823,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
160,MAGISTERIO,CI,7624190,06/03/1962,WILDER,NACHO,MASCAYA,BOLIVIA,F,354941,71539858,NO,CI,5225391,03/02/1971,RITA,URQUIETA,,BOLIVIA ,F,35354,78666824,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
161,MAGISTERIO,CI,1920676,19/10/1995,KATHIA,NATUSCH,RIBERA,BOLIVIA,F,354942,71539859,NO,CI,5264454,28/02/1989,MARCIO OSVALDO,VALDEZ,,BOLIVIA ,F,35354,78666825,3,2000,498,6000,1,SUCRE,05/01/2018,12/01/2018
162,MAGISTERIO,CI,3120293,07/08/1973,JESUS,NICOLAS,,BOLIVIA,M,354943,71539860,NO,CI,4533147,10/02/1997,ROCIO,VALDIVIA,TORRICO,BOLIVIA ,F,35354,78666826,1,2000,499,2000,1,LA PAZ,05/01/2018,12/01/2018
163,MAGISTERIO,CI,1937433,23/08/2011,GIOVANNA,NOE,JUSTINIANO,BOLIVIA,F,354944,71539861,NO,CI,6452221,12/04/2011,WALTER,VALENCIA,SANCHEZ,BOLIVIA ,F,35354,78666827,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
164,MAGISTERIO,CI,7620836,06/05/1999,PEDRO,NOGALES,,BOLIVIA,F,354945,71539862,NO,CI,6467073,01/04/1974,REMMY,VALENCIA,SANDOVAL,BOLIVIA ,F,35354,78666828,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
165,MAGISTERIO,CI,10794704,16/01/1992,ALEJANDRO,OCHOA,BURGOS,BOLIVIA,M,354946,71539863,NO,CI,4417325,06/10/1961,MONICA,VALENCIA,VARGAS,BOLIVIA ,F,35354,78666829,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
166,MAGISTERIO,CI,4665696,11/09/1988,AURA,OJOPI,DURAN,BOLIVIA,M,354947,71539864,NO,CI,4506815,06/12/1988,ABRAHAM,VALENZUELA,PEREZ,BOLIVIA ,F,35354,78666830,1,2000,1,2000,1,CBBA,05/01/2018,12/01/2018
167,MAGISTERIO,CI,7614824,08/04/1995,CARMEN,OJOPI,DURAN,BOLIVIA,F,354948,71539865,NO,CI,3084302,20/03/1990,HERIBERTO,VALERIANO,GARISTO,BOLIVIA ,F,35354,78666831,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
168,MAGISTERIO,CI,1904801,09/02/1971,ANA,OJOPI,MENDEZ,BOLIVIA,M,354949,71539866,NO,CI,8783721,08/09/1960,IVAN,VALLEJOS,AGUILAR,BOLIVIA ,F,35354,78666832,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
169,MAGISTERIO,CI,6192225,18/09/1981,DARLY,OJOPI,MERCADO,BOLIVIA,F,354950,71539867,NO,CI,7887261,28/03/2012,JAVIER,VALLEJOS,FELIPE,BOLIVIA ,F,35354,78666833,3,2000,464,6000,1,LA PAZ,05/01/2018,12/01/2018
170,MAGISTERIO,CI,10805850,30/01/1990,EDWIN,OLIVERA,,BOLIVIA,F,354951,71539868,NO,CI,3578600,26/04/2000,EDMUNDO,VALLEJOS,VEGA,BOLIVIA ,F,35354,78666834,1,2000,465,2000,1,LA PAZ,05/01/2018,12/01/2018
171,MAGISTERIO,CI,7597711,19/10/1970,DANITZA,OLMOS,GUARI,BOLIVIA,M,354952,71539869,NO,CI,4524424,06/12/1957,DANIEL,VARGAS,,BOLIVIA ,F,35354,78666835,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
172,MAGISTERIO,CI,4247432,25/06/1957,JORGE ALEJANDRO,OLMOS,ROSAS,BOLIVIA,F,354953,71539870,NO,CI,4394662,18/08/2008,EDUARDO,VARGAS,CALVI,BOLIVIA ,F,35354,78666836,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
173,MAGISTERIO,CI,4176274,30/11/1974,LORGIO,ORTEGA,VILLARROEL,BOLIVIA,M,354954,71539871,NO,CI,9504602,01/03/2010,FIDELIA,VARGAS,CUEVAS,BOLIVIA ,F,35354,78666837,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
174,MAGISTERIO,CI,6287396,25/04/1958,LUIS,ORTIZ,CESPEDES,BOLIVIA,F,354955,71539872,NO,CI,6514954,15/03/1995,CLAUDIA CECILIA,VARGAS,LOBATON,BOLIVIA ,F,35354,78666838,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
175,MAGISTERIO,CI,7629494,27/10/2006,TRISTAN,ORTIZ,JARILLO,BOLIVIA,F,354956,71539873,NO,CI,3449752,15/10/1960,RONALD,VARGAS,MORALES,BOLIVIA ,F,35354,78666839,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
176,MAGISTERIO,CI,7630009,07/01/2012,GERARDO,ORTIZ,PADILLA,BOLIVIA,M,354957,71539874,NO,CI,3149692,16/07/1996,YVANNA,VARGAS,QUIROGA,BOLIVIA ,F,35354,78666840,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
177,MAGISTERIO,CI,5615885,30/09/2001,ORLANDO,ORTIZ,RIVERO,BOLIVIA,F,354958,71539875,NO,CI,4458328,22/06/1986,CLAUDIA,VARGAS,ROCABADO,BOLIVIA ,F,35354,78666841,3,2000,472,6000,1,LA PAZ,05/01/2018,12/01/2018
178,MAGISTERIO,CI,7655714,02/10/2000,LIMBER,OTA,PACAMIA,BOLIVIA,F,354959,71539876,NO,CI,6477325,21/03/1956,OSCAR,VARGAS,UGARTE,BOLIVIA ,F,35354,78666842,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
179,MAGISTERIO,CI,5591607,13/07/1977,JUAN,OTTA,GUARDIA,BOLIVIA,F,354960,71539877,NO,CI,8048210,28/09/1988,CAROL,VARGAS,VELARDE,BOLIVIA ,F,35354,78666843,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
180,MAGISTERIO,CI,7614873,04/11/1982,NEIVA,OVALE,ARTEAGA,BOLIVIA,F,354961,71539878,NO,CI,6423569,04/01/1976,LUIS,VARGAS,ZERAIN,BOLIVIA ,F,35354,78666844,1,2000,475,2000,1,BENI ,05/01/2018,12/01/2018
181,MAGISTERIO,CI,7609054,24/12/1955,YLIANA,PACHECO,SOSA,BOLIVIA,M,354962,71539879,NO,CI,7473106,15/01/2012,KELLY TATIANA,VARGAS,,BOLIVIA ,F,35354,78666845,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
182,MAGISTERIO,CI,4191983,15/09/1957,ELISA ROMINA,PARADA,,BOLIVIA,M,354963,71539880,NO,CI,7910691,01/04/1976,DANIELA,VASQUEZ,CAMACHO,BOLIVIA ,F,35354,78666846,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
183,MAGISTERIO,CI,7580831,20/08/1965,CLARA,PARDO,GONZALES,BOLIVIA,F,354964,71539881,NO,CI,5748137,14/03/1976,PAMELA,VASQUEZ,GONZALES,BOLIVIA ,F,35354,78666847,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
184,MAGISTERIO,CI,5619840,04/08/1996,DAMNA,PARRAGA,ACHIPA,BOLIVIA,F,354965,71539882,NO,CI,5901153,20/03/1982,WILFREDO,VASQUEZ,LIMA,BOLIVIA ,F,35354,78666848,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
185,MAGISTERIO,CI,4181524,12/02/1999,CAROLINA,PERALTA,RIVERO,BOLIVIA,F,354966,71539883,NO,CI,8043564,05/07/1968,DEYCI,VASQUEZ,PADILLA,BOLIVIA ,F,35354,78666849,3,2000,480,6000,1,CBBA,05/01/2018,12/01/2018
186,MAGISTERIO,CI,7613008,18/02/1987,ROSA,PEREZ,HURTADO,BOLIVIA,M,354967,71539884,NO,CI,3153192,12/06/1985,MAURICIO,VASQUEZ,PEREZ,BOLIVIA ,F,35354,78666850,1,2000,481,2000,1,SANTA CRUZ,05/01/2018,12/01/2018
